headline,article_url,article_text,keyword
Nine-year-old girl's emergency call that saved her mother,http://www.theguardian.com/society/video/2016/feb/25/nine-year-old-girls-999-call-that-saved-her-mother-audio,Greater Manchester police released this audio recording of Lily and Eva Barber’s 999 call,Audio
A Berlin jogger and a Bollywood star,http://www.theguardian.com/news/gallery/2016/feb/25/photo-highlights-of-the-day-a-berlin-jogger-and-a-bollywood-star,"The Guardian’s picture editors bring you a selection of the best images from around the world, including Mark Zuckerberg in Germany and Sanjay Dutt in Mumbai",Photo highlights
Afghan boy receives shirt from Lionel Messi,http://www.theguardian.com/football/video/2016/feb/25/afghan-boy-receives-football-shirt-lionel-messi-argentina-barcelona-video,"Five-year-old Murtaza Ahmadi, who made a makeshift Lionel Messi football jersey from a plastic bag, receives a shirt from the footballer",Football
"Gas masks, guns and Misfits: the photography of David Arnoff",http://www.theguardian.com/artanddesign/gallery/2016/feb/25/punk-photography-david-arnoff,"David Arnoff documented some of punk’s biggest players as the style mutated beyond its mid-70s origins, from Patti Smith to Ian Dury and Nick Cave. He tells the stories behind the shots",Punk
David Cameron is jealous of my style,http://www.theguardian.com/politics/video/2016/feb/25/corbyn-jokes-that-cameron-is-jealous-of-his-style-video,The UK opposition leader jokes that the PM would want the jacket he is wearing,Jeremy Corbyn
99 Cents review – a solid stab at omnivorous pop,http://www.theguardian.com/music/2016/feb/25/santigold-99-cents-review," Hopping between genres like any self-respecting Spotify-era pop star should, Santigold’s at her best when playing the kook",Santigold
"Game of Thrones twist will appear in books, not TV show",http://www.theguardian.com/books/2016/feb/25/george-rr-martin-game-of-thrones-twist-will-appear-in-books-not-tv-show,The Song of Ice and Fire novelist says the delayed sixth novel in his fantasy sequence will feature character who has been killed off in the TV adaptation,George RR Martin
How she became a teen idol,http://www.theguardian.com/lifeandstyle/2016/feb/25/kim-kardashian-teens-book-celebrity-social-media-american-girls,"Kim Kardashian personifies America’s obsessions with celebrities and social media – and young girls can’t get enough, writes , in her new book American Girls",Kim Kardashian
YouTube celebrity's Girl Online voted schoolchildren's favourite book,http://www.theguardian.com/books/2016/feb/25/youtube-zoellas-girl-online-voted-schoolchildrens-favourite-book,"Major annual survey of pupils’ reading habits finds the YouTube star’s debut novel the best-liked, with Jeff Kinney the most popular author overall",Zoella
The 2016 Kiwi St Ayles Skiff Raid,http://www.theguardian.com/sport/ng-interactive/2016/feb/25/coastal-rowing-new-zealand-kiwi-st-ayles-skiff-raid,Murdo MacLeod travels to the Hauraki Gulf to the north-east of Auckland to take part in the most ambitious event to date,Coastal rowing in New Zealand:
